syllable,onset,rhyme,n,pole_1,pole_2,pole_3,parallel_1,parallel_2,parallel_3,neighbors,example_words
t͡sɑ,t͡s,ɑ,1,艮卦-static,震卦-static,離卦-dynamic,艮卦-static,艮卦-static + 震卦-static,艮卦-static + 離卦-dynamic,magazine newspaper television literature book construction_site industry recently,雜誌(magazine)
t͡sʰɑ,t͡sʰ,ɑ,3,巽卦-dynamic,坎卦-dynamic,離卦-dynamic,坎卦-dynamic + 巽卦-dynamic,巽卦-dynamic,巽卦-dynamic + 離卦-dynamic,rub wipe friction brush sweat wash loosen itch,摩擦(rub) 擦拭(wipe) 摩擦力(friction)
xɑ,x,ɑ,2,兌卦-dynamic,艮卦-dynamic,巽卦-dynamic,兌卦-static + 兌卦-dynamic,艮卦-dynamic + 兌卦-static,坤卦-dynamic + 巽卦-dynamic,yawn clam swallow walrus whale squid penguin octopus,打哈欠(yawn) 蛤(clam)
ʂɑ,ʂ,ɑ,11,艮卦-dynamic,震卦-dynamic,艮卦-static,艮卦-dynamic,艮卦-dynamic + 巽卦-static,艮卦-static + 艮卦-dynamic,yarn warp desert weave escape silk sand kite,殺(kill) 鯊魚(shark) 冰沙(smoothie) 沙子(sand) 沙漠(desert) 紗(yarn) 經紗(warp) 緯紗(weft) 沙坑(sandpit) 面紗(veil) 謀殺(murder)
ʈ͡ʂɑ,ʈ͡ʂ,ɑ,6,艮卦-dynamic,震卦-dynamic,艮卦-static,艮卦-static + 艮卦-dynamic,艮卦-dynamic,艮卦-dynamic + 震卦-dynamic,bomb explode skyscraper sneeze tornado grenade blink slingshot,眨眼(blink) 爆炸(explode) 蚱蜢(grasshopper) 油炸圈餅(doughnut) 炸彈(bomb) 柵欄(fence)
ʈ͡ʂʰɑ,ʈ͡ʂʰ,ɑ,8,坎卦-dynamic,離卦-dynamic,坎卦-static,坎卦-static + 離卦-dynamic,坎卦-static + 坎卦-dynamic,坎卦-dynamic + 離卦-dynamic,pin note lawyer policeman button letter branch ring,插入(insert) 檢查(check) 茶花(camellia) 茶(tea) 叉子(fork) 檢察官(prosecutor) 警察(policeman) 差距(gap)
ɑ,∅,ɑ,1,巽卦-static,坎卦-static,中卦-dynamic,巽卦-static,坎卦-static + 巽卦-static,巽卦-static + 中卦-dynamic,aunt husband sister mother uncle niece wife daughter,阿姨(aunt)
fɑŋ,f,ɑŋ,16,震卦-static,坎卦-static,艮卦-dynamic,艮卦-dynamic + 震卦-static,艮卦-dynamic + 坎卦-static,坤卦-dynamic + 震卦-static,dining_room room living_room sit meal relax place house,放(put) 釋放(release) 放松(relax) 拜訪(visit) 放縱(indulgent) 脂肪(fat) 紡錘(spindle) 房間(room) 書房(study) 廚房(kitchen) 健身房(gym) 消防隊員(firefighter)
kɑŋ,k,ɑŋ,6,坤卦-static,震卦-static,坤卦-dynamic,坤卦-static + 震卦-static,坤卦-dynamic + 震卦-static,坤卦-static + 艮卦-static,just still but even fine like one same,钢(steel) 杠(bar) 鋼琴(piano) 港口(port) 剛剛(just) 剛剛(just)
kʰɑŋ,kʰ,ɑŋ,2,乾卦-dynamic,坎卦-static,中卦-static,坎卦-static + 乾卦-dynamic,中卦-static + 乾卦-dynamic,坎卦-static + 中卦-static,carnation healthy sunflower peach pomegranate chrysanthemum watermelon hibiscus,健康(healthy) 康乃馨(carnation)
lɑŋ,l,ɑŋ,4,艮卦-dynamic,坎卦-static,坤卦-dynamic,艮卦-dynamic + 中卦-static,艮卦-dynamic + 坎卦-static,坤卦-static + 艮卦-dynamic,wolf waste howl shadow forest raven fox owl,浪費(waste) 狼(wolf) 海浪(wave) 回廊(cloister)
mɑŋ,m,ɑŋ,3,坤卦-dynamic,巽卦-static,乾卦-static,坤卦-dynamic + 巽卦-static,坤卦-dynamic + 乾卦-static,坤卦-dynamic,blind busy apple lazy slow poor mango egg_white,忙(busy) 盲(blind) 芒果(mango)
nɑŋ,n,ɑŋ,1,兌卦-static,兌卦-dynamic,巽卦-dynamic,兌卦-static + 兌卦-dynamic,巽卦-dynamic + 兌卦-static,離卦-dynamic + 兌卦-static,gall_bladder bladder kidney spleen stomach vomit pus lung,膽囊(gall bladder)
pɑŋ,p,ɑŋ,7,艮卦-dynamic,震卦-static,坎卦-static,艮卦-dynamic + 震卦-static,艮卦-dynamic + 坎卦-static,震卦-static + 離卦-dynamic,neck shoulder leg elbow arm ankle knee tie,幫助(help) 綁(tie) 翅膀(wing) 肩膀(shoulder) 膀胱(bladder) 傍晚(evening) 棒球(baseball)
pʰɑŋ,pʰ,ɑŋ,4,震卦-static,艮卦-static,坎卦-static,震卦-static,震卦-static + 乾卦-static,坎卦-static + 震卦-static,table_tennis table beside noodle crab duck bean pigeon,胖(fat) 螃蟹(crab) 乒乓球(table tennis) 旁邊(beside)
sɑŋ,s,ɑŋ,1,巽卦-static,震卦-static,坎卦-dynamic,巽卦-static + 震卦-static,坎卦-dynamic + 巽卦-static,巽卦-static + 離卦-dynamic,mulberry_tree tree palm_tree vine sycamore willow twig leaf,桑樹(mulberry tree)
tɑŋ,t,ɑŋ,3,離卦-dynamic,坎卦-static,坤卦-dynamic,坤卦-dynamic + 離卦-dynamic,中卦-dynamic + 離卦-dynamic,坤卦-static + 離卦-dynamic,when sure where there how_many always know just,當地(local) 當(when) 當然(sure)
tʰɑŋ,tʰ,ɑŋ,6,艮卦-dynamic,震卦-dynamic,震卦-static,艮卦-dynamic,艮卦-dynamic + 震卦-dynamic,艮卦-dynamic + 震卦-static,candy cereal bread chocolate sugar coffee apple_pie cheese,躺(lie) 搖蕩(swing) 湯(soup) 糖果(candy) 糖(sugar) 天堂(heaven)
t͡sɑŋ,t͡s,ɑŋ,4,坤卦-static,乾卦-static,坎卦-static,巽卦-dynamic + 乾卦-static,坎卦-static + 乾卦-static,兌卦-static + 乾卦-static,guts liver marrow kidney spleen heart brain stomach,骯臟(dirty) 內臟(guts) 心臟(heart) 肝臟(liver)
t͡sʰɑŋ,t͡sʰ,ɑŋ,3,艮卦-static,兌卦-dynamic,坎卦-dynamic,艮卦-static + 艮卦-dynamic,艮卦-static + 兌卦-dynamic,艮卦-static + 離卦-dynamic,hide treasure steal fly escape flee protect deceive,隱藏(hide) 蒼蠅(fly) 寶藏(treasure)
ʂɑŋ,ʂ,ɑŋ,11,震卦-static,艮卦-static,震卦-dynamic,艮卦-static + 震卦-static,震卦-static + 震卦-dynamic,震卦-static + 離卦-dynamic,out from down left look_for when back see,商人(merchant) 加上(add) 上升(rise) 傷害(hurt) 悲傷(sad) 上一個(previous) 傷口(wound) 傷疤(scar) 在上面(on) 向上(up) 在上面(above)
ʈ͡ʂɑŋ,ʈ͡ʂ,ɑŋ,17,艮卦-dynamic,離卦-dynamic,兌卦-dynamic,艮卦-dynamic + 離卦-dynamic,震卦-dynamic + 離卦-dynamic,艮卦-dynamic + 兌卦-dynamic,grow frog palm_tree head giraffe long belly move,帳單(bill) 膨脹(swell) 生長(grow) 長得像(like) 擴張(expand) 掌舵(steer) 長(long) 緊張(nervous) 丈夫(husband) 長頸鹿(giraffe) 章魚(octopus) 仙人掌(cactus)
ʈ͡ʂʰɑŋ,ʈ͡ʂʰ,ɑŋ,14,坎卦-static,乾卦-static,坤卦-static,中卦-static + 離卦-dynamic,離卦-dynamic + 乾卦-static,坤卦-static + 離卦-dynamic,often rarely usually where which rather_than live only,嘗(taste) 嘗試(try) 唱歌(sing) 正常(ordinary) 常見(common) 不在場(absent) 在場(present) 腸(intestine) 圓形劇場(amphitheater) 工廠(factory) 市場(market) 農場(farm)
ɑŋ,∅,ɑŋ,2,坤卦-static,中卦-static,乾卦-static,坤卦-static + 中卦-static,中卦-static + 乾卦-static,坤卦-static + 乾卦-static,cheap expensive dirty boring cleaner fine stinky clean,骯臟(dirty) 昂貴(expensive)
ɑɻ,∅,ɑɻ,11,坤卦-dynamic,離卦-static,乾卦-dynamic,坤卦-dynamic + 離卦-static,坤卦-dynamic,坤卦-dynamic + 乾卦-static,twelve twenty ten_thousand ten eleven fifteen hundred five,二(two) 十二(twelve) 二十(twenty) 帕爾瑪幹酪(parmesan) 耳朵(ear) 周二(tuesday) 二月(february) 十二月(december) 耳環(earring) 耳機(earphone) 而不是(rather than)
kɑʊ,k,ɑʊ,7,艮卦-static,震卦-dynamic,震卦-static,艮卦-static + 震卦-dynamic,艮卦-static,艮卦-static + 震卦-static,cake tall pancake height cheesecake pudding almond apple_pie,警告(warn) 高大(tall) 高(high) 羔羊(lamb) 蛋糕(cake) 起司蛋糕(cheesecake) 高度(height)
kʰɑʊ,kʰ,ɑʊ,5,震卦-dynamic,坎卦-dynamic,艮卦-static,震卦-dynamic + 兌卦-static,坎卦-dynamic + 震卦-dynamic,艮卦-static + 震卦-dynamic,bake roast oven cook pan dish fry cheesecake,考慮(consider) 炙烤(roast) 烘烤(bake) 鐐銬(shackle) 烤箱(oven)
lɑʊ,l,ɑʊ,10,乾卦-dynamic,中卦-static,坤卦-dynamic,中卦-static + 乾卦-dynamic,坤卦-dynamic + 乾卦-dynamic,坤卦-dynamic + 中卦-static,parmesan tofu cheese cashew butter feta mozzarella rice,老(old) 疲勞(tired) 勤勞(diligent) 老鼠(mouse) 老虎(tiger) 奶酪(cheese) 羊乳酪(feta) 馬蘇裏拉奶酪(mozzarella) 帕爾瑪幹酪(parmesan) 老師(teacher)
mɑʊ,m,ɑʊ,16,艮卦-static,離卦-dynamic,艮卦-dynamic,艮卦-static,艮卦-static + 離卦-dynamic,艮卦-static + 艮卦-dynamic,feather hat fur owl hedgehog giraffe penguin parrot,貓(cat) 熊貓(panda) 貓頭鷹(owl) 毛蟲(caterpillar) 毛茛(buttercup) 山毛櫸(beech) 羽毛(feather) 毛皮(fur) 眉毛(eyebrow) 睫毛(eyelash) 羊毛(wool) 矛(spear)
nɑʊ,n,ɑʊ,4,坤卦-dynamic,坤卦-static,坎卦-static,坤卦-dynamic,坤卦-static + 坤卦-dynamic,坤卦-dynamic + 坎卦-static,computer laptop brain keyboard scanner machine printer radio,吵鬧(noisy) 腦子(brain) 電腦(computer) 筆記本電腦(laptop)
pɑʊ,p,ɑʊ,24,艮卦-static,離卦-static,坎卦-dynamic,艮卦-static + 離卦-static,艮卦-static + 艮卦-dynamic,艮卦-static + 坎卦-dynamic,treasure mountain leopard desert shield secret jewel fort,保留(keep) 爆炸(explode) 擁抱(embrace) 保護(protect) 包括(include) 包裹(wrap) 薄(thin) 雙胞胎(twins) 豹(leopard) 獵豹(cheetah) 海豹(seal) 面包(bread)
pʰɑʊ,pʰ,ɑʊ,6,艮卦-dynamic,巽卦-dynamic,震卦-dynamic,艮卦-dynamic + 巽卦-dynamic,艮卦-dynamic + 震卦-static,巽卦-dynamic + 震卦-dynamic,foam soak bubble ice_cream noodle sponge race bowl,跑(run) 浸泡(soak) 泡菜(pickle) 氣泡(bubble) 泡沫(foam) 賽跑(race)
sɑʊ,s,ɑʊ,4,坎卦-dynamic,離卦-dynamic,艮卦-dynamic,坤卦-dynamic + 離卦-dynamic,艮卦-dynamic + 坎卦-dynamic,艮卦-dynamic + 離卦-dynamic,scan scanner check blink optician printer copy sweep,打掃(sweep) 掃描(scan) 嫂子(sister-in-law) 掃描器(scanner)
tɑʊ,t,ɑʊ,19,震卦-dynamic,艮卦-dynamic,兌卦-dynamic,坎卦-dynamic + 震卦-dynamic,坎卦-static + 震卦-dynamic,艮卦-dynamic + 震卦-dynamic,take tell find where walk ask then according_to,找到(find) 祈禱(pray) 倒(pour) 到達(arrive) 領導(lead) 指導(guide) 提到(mention) 稻草(straw) 刀(knife) 島嶼(island) 鐮刀(sickle) 隧道(tunnel)
tʰɑʊ,tʰ,ɑʊ,13,離卦-dynamic,艮卦-static,坎卦-dynamic,艮卦-static + 離卦-dynamic,艮卦-static + 坎卦-dynamic,離卦-dynamic,peach walnut hazelnut cinnamon cherry pear almond nutmeg,逃走(flee) 逃離(escape) 討論(discuss) 桃子(peach) 櫻桃(cherry) 獼猴桃(kiwi) 楊桃(starfruit) 核桃(walnut) 葡萄酒(wine) 陶瓷(ceramic) 手套(glove) 套裝(suit)
t͡sɑʊ,t͡s,ɑʊ,6,震卦-dynamic,離卦-dynamic,艮卦-dynamic,坤卦-static + 震卦-dynamic,坤卦-static + 離卦-dynamic,震卦-dynamic + 離卦-dynamic,prepare begin next morning ready day summer during,創造(create) 建造(build) 早(early) 早餐(breakfast) 早晨(morning) 肥皂(soap)
t͡sʰɑʊ,t͡sʰ,ɑʊ,9,巽卦-static,中卦-static,中卦-dynamic,巽卦-static,巽卦-static + 中卦-static,巽卦-static + 中卦-dynamic,berry lavender chamomile camellia peach strawberry marigold peony,粗糙(rough) 草莓(strawberry) 飛燕草(delphinium) 薰衣草(lavender) 金魚草(snapdragon) 草(grass) 稻草(straw) 香草(herb) 香草(vanilla)
xɑʊ,x,ɑʊ,11,坤卦-dynamic,兌卦-dynamic,坤卦-static,坤卦-dynamic + 兌卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-dynamic,sure like really yes say just thing okay,好像(seem) 嗥叫(howl) 好奇(curious) 好笑(funny) 好(good) 準備好(ready) 號角(horn) 大號(tuba) 符號(sign) 你好(hello) 好的(okay)
ʂɑʊ,ʂ,ɑʊ,11,兌卦-dynamic,坤卦-static,坎卦-dynamic,中卦-dynamic + 兌卦-dynamic,中卦-static + 兌卦-dynamic,坤卦-static + 震卦-dynamic,even less more least only rather_than rarely time,減少(decrease) 燒(burn) 多少(how many) 多少(how much) 很少(few) 更少(less) 最少(least) 勺子(spoon) 發燒(fever) 哨(whistle) 很少(rarely)
ʈ͡ʂɑʊ,ʈ͡ʂ,ɑʊ,6,離卦-dynamic,兌卦-dynamic,艮卦-static,離卦-dynamic + 乾卦-static,坤卦-static + 離卦-dynamic,坤卦-static + 震卦-dynamic,find look_for see take_care_of take you out imagine,尋找(look for) 找到(find) 照顧(take care of) 兆(trillion) 沼澤(swamp) 照片(photograph)
ʈ͡ʂʰɑʊ,ʈ͡ʂʰ,ɑʊ,5,坎卦-dynamic,兌卦-dynamic,離卦-static,坤卦-dynamic + 坎卦-dynamic,離卦-static + 兌卦-dynamic,坎卦-dynamic + 離卦-static,fry quarrel scold noisy nest argue cook kettle,炒(fry) 吵架(quarrel) 爭吵(argue) 吵鬧(noisy) 巢(nest)
ɑʊ,∅,ɑʊ,1,乾卦-static,震卦-static,離卦-dynamic,離卦-dynamic + 乾卦-static,震卦-static + 乾卦-dynamic,兌卦-dynamic + 乾卦-static,proud happy excited hope brave beautiful praise respect,驕傲(proud)
fən,f,ən,11,坎卦-dynamic,離卦-dynamic,離卦-static,中卦-dynamic + 離卦-dynamic,坎卦-dynamic + 中卦-dynamic,離卦-static + 離卦-dynamic,part split mix group week whole together layer,分開(split) 分享(share) 興奮(excited) 憤怒(angry) 粉色(pink) 部分(part) 分支(branch) 粉末(powder) 麵粉(flour) 分鐘(minute) 分析(analysis)
kən,k,ən,5,艮卦-dynamic,震卦-dynamic,離卦-dynamic,坎卦-dynamic + 震卦-dynamic,震卦-dynamic + 離卦-dynamic,艮卦-dynamic + 離卦-dynamic,follow bend root heel toe cross try push,跟隨(follow) 根(root) 毛茛(buttercup) 腳後跟(heel) 根據(according to)
kʰən,kʰ,ən,1,中卦-dynamic,中卦-static,坤卦-static,艮卦-static + 中卦-dynamic,中卦-static + 中卦-dynamic,中卦-dynamic,certain even other only rather_than most there each_other,肯定(certain)
mən,m,ən,4,震卦-dynamic,兌卦-dynamic,離卦-dynamic,坤卦-static + 震卦-dynamic,坤卦-dynamic + 震卦-dynamic,震卦-dynamic + 離卦-static,we they you if know do be_used_to sure,我們(we) 你們(you) 他們(they) 門(door)
pən,p,ən,2,坤卦-static,坤卦-dynamic,兌卦-static,坤卦-static + 坤卦-dynamic,坤卦-static,坤卦-dynamic,laptop script computer keyboard copy edit file scanner,筆記本電腦(laptop) 腳本(script)
pʰən,pʰ,ən,1,兌卦-dynamic,艮卦-dynamic,坎卦-dynamic,兌卦-dynamic,兌卦-dynamic + 乾卦-static,艮卦-dynamic + 兌卦-dynamic,sneeze cough fart yawn snot scream breathe explode,打噴嚏(sneeze)
sən,s,ən,1,巽卦-static,坤卦-dynamic,震卦-static,巽卦-static + 離卦-static,巽卦-static + 震卦-static,坤卦-dynamic + 巽卦-static,forest mountain bush desert mulberry_tree valley moss aspen,森林(forest)
xən,x,ən,5,坤卦-static,中卦-dynamic,坎卦-dynamic,坤卦-static + 中卦-dynamic,中卦-dynamic + 兌卦-dynamic,坎卦-dynamic + 中卦-dynamic,even most few only just rarely but many,恨(hate) 很少(few) 痕跡(trace) 很少(rarely) 很(very)
ɻən,ɻ,ən,25,坎卦-static,坤卦-dynamic,艮卦-static,坤卦-dynamic + 坎卦-static,坎卦-static,艮卦-static + 坎卦-static,person woman man soldier servant child victim stranger,商人(merchant) 否認(deny) 忍耐(endure) 任意(arbitrary) 負責任(responsible) 私人(private) 人類(human) 人(person) 人群(crowd) 人口(population) 男人(man) 女人(woman)
ʂən,ʂ,ən,14,坎卦-static,震卦-static,坤卦-static,坎卦-static + 震卦-dynamic,坤卦-static + 震卦-dynamic,艮卦-dynamic + 坎卦-static,what why that thing even how_much just because,下沈(sink) 伸展(stretch) 深(deep) 什麽(what) 什麽時候(when) 為什麽(why) 腎(kidney) 神經(nerve) 身體(body) 神(god) 神仙(immortal) 神話(myth)
ʈ͡ʂən,ʈ͡ʂ,ən,9,離卦-static,坎卦-static,艮卦-dynamic,艮卦-dynamic + 離卦-static,坎卦-static + 離卦-static,離卦-static,ring triangle pillow necklace bracelet earthquake pin needle,真實(True) 榛子(hazelnut) 地震(earthquake) 枕頭(pillow) 針(needle) 別針(pin) 鎮(town) 振幅(amplitude) 真的(really)
ʈ͡ʂʰən,ʈ͡ʂʰ,ən,4,坤卦-static,坤卦-dynamic,中卦-static,坤卦-static + 坤卦-dynamic,坤卦-static + 中卦-static,坤卦-static + 艮卦-static,dust vacuum_cleaner coat wash cloth sweat cleaner air_conditioner,灰塵(dust) 早晨(morning) 吸塵器(vacuum cleaner) 襯衫(shirt)
fəŋ,f,əŋ,20,艮卦-dynamic,艮卦-static,坎卦-dynamic,艮卦-static + 艮卦-dynamic,艮卦-static + 坎卦-dynamic,艮卦-dynamic + 坎卦-dynamic,wind tornado storm trumpet hurricane bee cicada lightning,縫(sew) 瘋狂(crazy) 蜂鳥(hummingbird) 蜜蜂(bee) 風信子(hyacinth) 楓樹(maple) 蜂蜜(honey) 風暴(storm) 風(wind) 頂峰(peak) 颶風(hurricane) 龍卷風(tornado)
kəŋ,k,əŋ,2,坤卦-static,乾卦-static,中卦-static,坤卦-static + 乾卦-static,中卦-static + 乾卦-static,坤卦-static + 中卦-dynamic,less more rather_than most only enough least small,更多(more) 更少(less)
kʰəŋ,kʰ,əŋ,1,巽卦-static,震卦-static,離卦-static,巽卦-static + 離卦-static,巽卦-static + 震卦-static,巽卦-static + 震卦-dynamic,sandpit trampoline garden hut sand cricket seesaw dustpan,沙坑(sandpit)
ləŋ,l,əŋ,2,坤卦-dynamic,艮卦-static,巽卦-static,坤卦-dynamic + 艮卦-static,坤卦-dynamic,坤卦-dynamic + 震卦-static,cold fir ash birch oak wood winter cedar,冷(cold) 冷杉(fir)
məŋ,m,əŋ,2,艮卦-dynamic,震卦-dynamic,乾卦-static,艮卦-dynamic,艮卦-dynamic + 震卦-dynamic,艮卦-dynamic + 乾卦-static,grasshopper dream caterpillar hummingbird sparrow moon fairy frog,夢(dream) 蚱蜢(grasshopper)
nəŋ,n,əŋ,4,艮卦-dynamic,離卦-dynamic,震卦-dynamic,艮卦-dynamic + 中卦-dynamic,中卦-dynamic + 震卦-dynamic,中卦-dynamic + 兌卦-dynamic,probability probable calculate predict chance magnitude enough able,有能力(able) 可能(probable) 可能性(probability) 能量(energy)
pəŋ,p,əŋ,3,艮卦-dynamic,震卦-static,震卦-dynamic,艮卦-dynamic + 震卦-static,艮卦-dynamic + 巽卦-static,艮卦-dynamic,landslide avalanche trampoline earthquake snowstorm tornado snow sandpit,山崩(landslide) 雪崩(avalanche) 蹦床(trampoline)
pʰəŋ,pʰ,əŋ,4,乾卦-dynamic,坎卦-dynamic,兌卦-dynamic,坎卦-dynamic + 乾卦-dynamic,兌卦-dynamic + 乾卦-dynamic,離卦-dynamic + 乾卦-dynamic,collision punk friend wave hail storm swell cousin,膨脹(swell) 朋克(punk) 朋友(friend) 碰撞(collision)
təŋ,t,əŋ,6,艮卦-static,震卦-dynamic,艮卦-dynamic,艮卦-static + 震卦-dynamic,艮卦-static + 艮卦-dynamic,坤卦-dynamic + 震卦-dynamic,level climb magnitude time height limit ladder tower,等待(wait) 攀登(climb) 平等(equal) 燈(lamp) 等級(level) 燈塔(lighthouse)
tʰəŋ,tʰ,əŋ,2,乾卦-static,巽卦-static,震卦-static,艮卦-dynamic + 乾卦-static,震卦-static + 乾卦-static,巽卦-static + 乾卦-static,vine pain palm_tree root ginkgo tree mulberry_tree herb,藤蔓(vine) 疼痛(pain)
t͡səŋ,t͡s,əŋ,2,離卦-dynamic,兌卦-dynamic,坎卦-dynamic,離卦-dynamic,離卦-dynamic + 兌卦-dynamic,震卦-static + 離卦-dynamic,donate increase decrease pay buy sell earn receive,增加(increase) 捐贈(donate)
t͡sʰəŋ,t͡sʰ,əŋ,1,坎卦-static,離卦-static,艮卦-static,中卦-static + 離卦-static,艮卦-static + 中卦-static,坎卦-static + 中卦-static,layer density crust surface base homogeneous barrier material,層(layer)
xəŋ,x,əŋ,1,艮卦-static,艮卦-dynamic,震卦-static,艮卦-static + 中卦-dynamic,艮卦-static,艮卦-static + 艮卦-dynamic,beam plane ray velocity light sun particle collision,橫梁(beam)
ɻəŋ,ɻ,əŋ,2,坤卦-static,艮卦-dynamic,震卦-static,坤卦-static + 艮卦-dynamic,坤卦-static + 震卦-dynamic,坤卦-static + 兌卦-dynamic,just throw still even maybe because like but,扔(throw) 仍然(still)
ʂəŋ,ʂ,əŋ,19,坤卦-dynamic,坎卦-static,乾卦-static,坤卦-dynamic + 乾卦-static,坤卦-dynamic + 坎卦-static,坤卦-dynamic,woman child boy man baby brain girl student,上升(rise) 生長(grow) 生(raw) 陌生(strange) 外甥(nephew) 微生物(germ) 生姜(ginger) 花生(peanut) 生活(life) 聲音(sound) 大聲(loud) 繩索(rope)
ʈ͡ʂəŋ,ʈ͡ʂ,əŋ,18,中卦-static,中卦-dynamic,坤卦-static,中卦-static + 震卦-static,艮卦-static + 中卦-static,中卦-static,matter thing same exactly example idea sort correct,蒸(steam) 整理(sort) 爭吵(argue) 完整(complete) 正常(ordinary) 正確(correct) 整齐的(tidy) 正式(formal) 戰爭(war) 風箏(kite) 象征(symbol) 證據(evidence)
ʈ͡ʂʰəŋ,ʈ͡ʂʰ,əŋ,16,離卦-dynamic,兌卦-dynamic,震卦-dynamic,坤卦-static + 離卦-dynamic,震卦-dynamic + 離卦-dynamic,離卦-dynamic,succeed dream inherit change future program build become,成為(become) 承諾(promise) 稱讚(praise) 稱重(weigh) 繼承(inherit) 成功(succeed) 橙色(orange) 成人(adult) 秤(scales) 名稱(name) 日程(schedule) 程序(program)
fɤʊ,f,ɤʊ,1,震卦-dynamic,兌卦-dynamic,艮卦-static,震卦-dynamic + 兌卦-dynamic,艮卦-static + 兌卦-dynamic,艮卦-static + 震卦-dynamic,deny accept refuse ignore dare forbid argue lie,否認(deny)
kɤʊ,k,ɤʊ,5,離卦-dynamic,兌卦-dynamic,艮卦-dynamic,震卦-static + 離卦-dynamic,坤卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,buy get need want sell shopping_cart find pull,購買(buy) 足夠(enough) 狗(dog) 鉤(hook) 購物車(shopping cart)
kʰɤʊ,kʰ,ɤʊ,7,坎卦-static,坎卦-dynamic,乾卦-static,坎卦-static,坎卦-static + 乾卦-static,坎卦-static + 坎卦-dynamic,pocket port throat needle earphone population collar button,口渴(thirsty) 人口(population) 肉豆蔻(nutmeg) 傷口(wound) 紐扣(button) 口袋(pocket) 港口(port)
lɤʊ,l,ɤʊ,5,兌卦-static,坤卦-static,巽卦-static,坤卦-static + 兌卦-static,巽卦-static + 兌卦-static,艮卦-static + 兌卦-static,attic roof chimney basement stairs ceiling floor garage,泄漏(leak) 醜陋(ugly) 閣樓(attic) 樓梯(stairs) 摩天大樓(skyscraper)
mɤʊ,m,ɤʊ,1,中卦-dynamic,坎卦-dynamic,兌卦-static,中卦-dynamic,坎卦-dynamic + 中卦-dynamic,中卦-dynamic + 兌卦-static,murder victim prison attack escape divorce kill innocent,謀殺(murder)
tɤʊ,t,ɤʊ,7,震卦-dynamic,巽卦-static,震卦-static,巽卦-static + 震卦-dynamic,中卦-static + 震卦-dynamic,巽卦-static + 兌卦-dynamic,potato almond bean hazelnut mango avocado cashew pistachio,顫抖(tremble) 陡(steep) 土豆(potato) 豌豆(pea) 豆子(bean) 豆腐(tofu) 肉豆蔻(nutmeg)
tʰɤʊ,tʰ,ɤʊ,13,艮卦-static,震卦-static,離卦-dynamic,艮卦-static + 震卦-static,坤卦-dynamic + 艮卦-static,艮卦-static + 離卦-dynamic,hand forehead chest head neck stone finger sword,偷竊(steal) 穿透(penetrate) 透明(transparent) 貓頭鷹(owl) 頭發(hair) 頭(head) 額頭(forehead) 舌頭(tongue) 石頭(stone) 木頭(wood) 斧頭(axe) 水龍頭(tap)
t͡sɤʊ,t͡s,ɤʊ,2,艮卦-dynamic,震卦-dynamic,兌卦-dynamic,艮卦-dynamic + 震卦-dynamic,艮卦-dynamic,艮卦-dynamic + 兌卦-dynamic,walk flee roam escape descend arrive stop train,走(walk) 逃走(flee)
xɤʊ,x,ɤʊ,15,震卦-dynamic,艮卦-dynamic,坎卦-static,坎卦-static + 震卦-dynamic,坤卦-dynamic + 震卦-dynamic,艮卦-dynamic + 震卦-dynamic,before until after finally again last next when,厚(thick) 什麽時候(when) 最後(last) 後媽(stepmother) 猴(monkey) 獼猴桃(kiwi) 腳後跟(heel) 喉嚨(throat) 後悔(regret) 向後(backwards) 在後面(behind) 後面(rear)
ɻɤʊ,ɻ,ɤʊ,4,震卦-static,震卦-dynamic,中卦-static,震卦-static,震卦-static + 震卦-dynamic,中卦-static + 震卦-static,cinnamon nutmeg butter hazelnut almond cashew garlic mango,肉(meat) 肉豆蔻(nutmeg) 肉桂(cinnamon) 肌肉(muscle)
ʂɤʊ,ʂ,ɤʊ,25,離卦-dynamic,兌卦-dynamic,艮卦-static,艮卦-static + 離卦-dynamic,離卦-dynamic,震卦-static + 離卦-dynamic,wrist arm hand palm eyeglasses pocket glove hold,售賣(sell) 收縮(shrink) 享受(enjoy) 接受(accept) 受苦(suffer) 收集(collect) 收獲(reap) 瘦(slim) 受歡迎(popular) 獸醫(vet) 萬壽菊(marigold) 手指(finger)
ʈ͡ʂɤʊ,ʈ͡ʂ,ɤʊ,12,乾卦-dynamic,艮卦-dynamic,坤卦-dynamic,艮卦-dynamic + 乾卦-dynamic,離卦-static + 乾卦-dynamic,坤卦-dynamic + 艮卦-dynamic,tuesday thursday wednesday monday friday saturday sunday december,起皺(wrinkle) 肘(elbow) 周一(monday) 周二(tuesday) 周三(wednesday) 周四(thursday) 周五(friday) 周六(saturday) 周日(sunday) 樞軸(pivot) 宇宙(universe) 周圍(around)
ʈ͡ʂʰɤʊ,ʈ͡ʂʰ,ɤʊ,3,乾卦-static,坤卦-static,巽卦-static,坤卦-static + 乾卦-static,巽卦-static + 乾卦-static,坤卦-dynamic + 乾卦-static,stinky ugly dirty rotten silk linen pink loose,臭(stinky) 醜陋(ugly) 絲綢(silk)
