Hungarian,Finnish,Greek,Russian,Sanskrit,German,Nahuatl,Spanish,Italian,French,Irish,Welsh,English,Chinese,Vietnamese,Japanese,Korean,Tibetan,Thai,Indonesian,Turkish,Swahili,Hindi,Iti,Ifi,French2,French3,Frnch,French4,Flinch
angolna,ankerias,χέλι,угорь,,aal,,anguila,anguille,anguille,easc,lyswennod,eel,鰻,lươn,うなぎ,장어,,ปลาไหล,belut,yılanbalığı,eel,बाम मछली,,,,,,,
rája,stingray,σαλάχι,морской скат,,stingray,,stingray,stingray,raie,stingray,stingray,stingray,黃貂魚,stingray,スティングレイ,가오리,,ปลากระเบน,pari,stingray,stingray,stingray,,,,,,,
tengeri sün,merisiili,αχινός,морской еж,,seeigel,,erizo de mar,riccio di mare,oursin,urchin farraige,môr urchin,sea urchin,海膽,nhím biển,うに,성게,,เม่นทะเล,bulu babi,deniz kestanesi,urchin ya bahari,समुद्री अर्चिन,,,,,,,
kullancs,naaras,στρείδι,барнакл,,barnacle,,percebe,barnacle,barnacle,sciúradh,ysgubor,barnacle,藤壺,branta,フジツボ,따개비,,เพรียง,barnacle,ahır,barabara,थकानेवाला,,,,,,,
lamantin,manaatti,μανάτος,ламантин,,seekuh,,manatí,lamantino,lamantin,maroinneas,manatee,manatee,海牛,manatee,マナティー,바다소,,ม่านตา,manatee,manatee,manatee,मानाती,,,,,,,
fésűkagyló,kampasimpukka,χτένι,гребешок,,jakobsmuschel,,vieiras,pettine,pétoncles,muiríní,cregyn bylchog,scallop,扇貝,sò điệp,ホタテ,가리비,,หอยเชลล์,kerang,tarak kabuğu,scallop,घोंघा,,,,,,,
kalmár,kalamari,καλαμάρι,кальмары,,calamari,,calamari,calamari,calamar,calamari,calamari,calamari,魷魚,calamari,カラマリ,오징어,,ความสงบสุข,cumi,kalamar,kalamari,calamari,,,,,,,
kagyló,simpukka,μύδι,мидия,,muschel,,mejillones,cozze,moule,diúilicín,cregyn gleision,mussel,蚌,hến,ムール貝,홍합,,หอยแมลงภู่,remis,midye,mussel,एक प्रकार की कौड़ी,,,,,,,
sószóró,suolasirotin,αλατιέρα,солонка,,salzstreuer,,salero,saltshaker,salière,seartóir,halwynau,saltshaker,鹽瓶,lọ muối,ソルトシェーカー,소금 통,,เครื่องปั่นเกลือ,pengocok garam,tuzluk,saltshaker,नमकदानी,,,,,,,
felszálló,nousu,υψών,скандал,,steigleitung,,riser,riser,riser,a mhéad,codwr,riser,立板,ống đứng,riser,일어나는 사람,,ผู้ลุกขึ้น,anak tangga,yükseltici,riser,रिसर,,,,,,,
heveder,hihna,ιμάντας,ремень,,gurt,,correa,cinghia,sangle,srap,strapiwyd,strap,皮帶,strap,吊り革,견장,,สายรัด,strap,kayış,kamba,डोरी,,,,,,,
kombinációs zár,yhdistelmälukko,κλειδαριά με συνδυασμό,кодовый замок,,kombinationsschloss,,cerradura de combinación,lucchetto a combinazione,serrure à combinaison,glas comhcheangailte,clo cyfuniad,combination lock,密碼鎖,khóa kết hợp,コンビネーションロック,조합 잠금,,กุญแจรหัส,kunci kombinasi,şifreli kilit,mchanganyiko wa mchanganyiko,संयोजन ताला,,,,,,,
forgóajtó,portti,περιστροφική πόρτα,турникет,,drehkreuz,,torniquete,tornello,tourniquet,castile,gatiadau,turnstile,旋轉門,turnstile,ターンスタイル,개찰구,,ประตูหมุน,pintu putar,turnike,turnstile,घूमने वाला दरवाज़ा,,,,,,,
fenyőtoboz,pinekoni,πύργος,pinecone,,tannenzapfen,,piña,pinecone,pomme de pin,líne chnónna,pinecon,pinecone,松果,pinecone,松ぼっくり,피네콘,,ลูกสน,pinecone,kozalağı,pinecone,सनोबर की चिलग़ोज़ा,,,,,,,
búvónyílás,kaivo,φρεάτιο,люк,,mannloch,,agujero de hombre,tombino,regard,poll poill,twll,manhole,檢修孔,hố ga,マンホール,맨홀,,ท่อระบายน้ำ,lubang got,rögar,manhole,मैनहोल,,,,,,,
tűpárna,kisko,μαξιλαράκι για καρφίτσες,подушка,,nadelkissen,,acerico,pincushion,pelote à épingles,pincushion,pincushion,pincushion,針墊,pincushion,ピンキン,바늘방석,,หมัด,bantalan,pinkuş,pincushion,सूई का गल-तकिया,,,,,,,
varrókészlet,ompelusetti,σετ ραπτικής,набор для шитья,,flickzeug,,kit de costura,kit da cucito,kit de couture,trealamh fuála,pecyn gwnïo,sewing kit,針線包,đồ may vá,ソーイングセット,재봉 키트,,ชุดเย็บผ้า,peralatan menjahit,dikiş seti,kushona kit,सिलाई किट,,,,,,,
gyűszű,sormustin,δακτυλήθρα,наперь,,fingerhut,,dedal,ditale,dé,go dtí go bhfuil mirp le mirp le mirp go dtí go bhfuil mirp agus mirp agus mirpóir go mirpóirte,thined,thimble,頂針,thimble,指見,골무,,ปลอก,bidal,yüksük,thimble,नोक,,,,,,,
borotvapenge,partaveitsi,ξυραφάκι,лезвие бритвы,,rasierklinge,,cuchilla de afeitar,lama del rasoio,lame de rasoir,lann rasúir,llafn rasel,razor blade,剃須刀,lưỡi dao cạo,かみそりの刃,면도날,,ใบมีดโกน,pisau cukur,jilet,wembe,धार,,,,,,,
teepee,tiipii,τζη,вигва,,tipi,,tipi,teepee,pipe à tige,teipéil,teepee,teepee,帳篷,teepee,ティーピー,천막,,ทีพี,teepee,teepee,teepee,टीपी,,,,,,,
raklap,lava,παλέτα,поддон,,palette,,paleta,paletta,palettes,pailléid,phallet,pallet,托盤,pallet,荷台,짚자리,,พาเลท,palet,palet,pallet,पट्टिका,,,,,,,
konténer,kontti,δοχείο,контейнер,,behältnis,,contenedor,contenitore,conteneur,coimeádán,gynhwysydd,container,貨櫃,container,コンテナ,컨테이너,,คอนเทนเนอร์,wadah,konteynır,chombo,संग्राहक,,,,,,,
gyilok,stiletto,στιλέτο,шпилька,,stilett,,stiletto,stiletto,stiletto,stiletto,stiletto,stiletto,短劍,stiletto,スティレット,단도,,กริช,stiletto,stiletto,stiletto,कटार,,,,,,,
cipőfűző,kengännauha,κορδόνι,шнур,,schnürsenkel,,cordón,shoelace,lacet,iall bróige,hidales,shoelace,鞋帶,shoelace,靴紐,구두끈,,เชือกผูกรองเท้า,tali sepatu,ayakkabı bağı,shoelace,जूते का फीता,,,,,,,
sarkantyú,kannustaa,ώθηση,поступок,,spur,,estimular,sperone,éperon,spor,hysbardunon,spur,刺,spur,拍車,박차,,กระตุ้น,memacu,teşvik etmek,spur,प्रेरणा,,,,,,,
talpbetét,pohjallinen,εσωτερική σόλα υποδήματος,стелька,,einlegesohle,,plantilla,soletta,semelle intérieure,inslól,insole,insole,鞋墊,đế,インソール,깔창,,พื้นรองเท้า,insole,iç,insole,धूप में सुखाना,,,,,,,
cipőfényező,kengänkiilloke,βερνίκι παπουτσιών,крем для обуви,,schuhcreme,,lustra zapatos,lucido per scarpe,cirage,snas bróg,pwyleg esgidiau,shoe polish,鞋油,xi đánh giày,靴磨き,신발 광택,,รองเท้าขัด,semir sepatu,ayakkabı cilası,viatu kipolishi,जूता चमकाना,,,,,,,
mokaszin,mokkasiini,είδος φιδιού,мокасин,,moccasin,,mocasín,mocassino,mocassin,moccaisin,moccasin,moccasin,鹿皮鞋,moccasin,モカシン,모카신,,แตะ,mokasin,moccasin,moccasin,एक प्रकार का,,,,,,,
ék,pistoke,στήριγμα,бур,,klima,,cornamusa,tacchetta,taquet,cleag,cleddyfa ’,cleat,防滑釘,cleat,クリート,클리트,,คลอ,buritan,sıkıştırma,cleat,क्लीट,,,,,,,
fürdő sapka,suihkulakki,κάλυμα μαλλιών για το ντους,шапочка для душа,,duschhaube,,gorro de ducha,cuffia da doccia,bonnet de bain,caipín cith,cap cawod,shower cap,浴帽,nắp vòi hoa sen,シャワーキャップ,샤워 캡,,หมวกอาบน้ำ,topi mandi,duş başlığı,kofia ya kuoga,शॉवर कैप,,,,,,,
káposztasaláta,coleslaw,λαχανοσαλάτα,салат из капусты,,krautsalat,,ensalada de col,coleslaw,salade de chou,colscal,coleslaw,coleslaw,涼拌捲心菜,xà lách trộn,コールスロー,양배추 샐러드,,โคลสลอว์,selada kol,lâhana salatası,coleslaw,कोल स्लॉ,,,,,,,
banner,banner,πανό,баннер,,fahne,,banner,stendardo,bannière,meirge,baneri,banner,橫幅,banner,横断幕,현수,,แบนเนอร์,spanduk,banner,bendera,ध्वज,,,,,,,
síbot,hiihto sauva,χιονοδρομικός,лыжная палка,,skistock,,bastón de esqui,palo da sci,poteau de ski,cuaille,sgïo,ski pole,滑雪杖,gậy trượt tuyết,スキーポール,스키 폴,,เสาสกี,tongkat ski,kayak direği,ski pole,स्की पोल,,,,,,,
hamutartó,tuhkakuppi,τασάκι,пепельница,,aschenbecher,,cenicero,posacenere,cendrier,deartra,blwch,ashtray,煙灰缸,gạt tàn,灰皿,재떨이,,ที่เขี่ยบุหรี่,asbak,küllük,ashtray,राखदानी,,,,,,,
cigaretta tartó,savukeholkki,τασάκι,мундштук,,zigarettenhalter,,canastilla de cigarro,bocchino,porte-cigarette,sealbhóir toitíní,deiliad sigarét,cigarette holder,香煙架,ông điêu,タバコ入れ,담배 홀더,,ผู้ถือบุหรี่,pemegang rokok,sigara tutucu,mmiliki wa sigara,सिगरेट पकड़ने के लिए,,,,,,,
vízipipa,vesipiippu,ναργιλέ,кальян,,shisha,,pipa,narghilè,narguilé,hoookah,hookah,hookah,水煙,shisha,水ギセル,물 담뱃대,,มอระกู่,pipa,nargile,hookah,हुक्का,,,,,,,
popcorn,paukkumaissi,ποπ κορν,попкорн,,popcorn,,palomitas,popcorn,popcorn,grán rósta,popgorn,popcorn,爆米花,bắp rang bơ,ポップコーン,팝콘,,ป๊อปคอร์น,popcorn,patlamış mısır,popcorn,पॉपकॉर्न,,,,,,,
keksz,cracker,κράκερ,взломщик,,cracker,,galleta,cracker,cracker,scáinteoir,graciwr,cracker,餅乾,cracker,クラッカー,크래커,,แคร็กเกอร์,cracker,kraker,cracker,पटाखा,,,,,,,
chips,sihot,μάρκες,фишки,,chips,,chips,chips,jetons,sceallán,sglodion,chips,籌碼,chips,チップ,칩스,,ชิป,chip,cips,chips,चिप्स,,,,,,,
kobra,cobra,κόμπρα,кобра,,cobra,,cobra,cobra,cobra,cobra,cobra,cobra,眼鏡蛇,cobra,コブラ,코브라,,งูเห่า,cobra,cobra,cobra,कोबरा,,,,,,,
hó eke,lumiaura,χιόνι,снегоочиститель,,schneepflug,,quitanieves,spazzaneve,chasse-neige,ploinne sneachta,llongell,snowplow,雪犁,đồ ủi tuyết,除雪機,제설기,,สโนว์พล็อต,bajak salju,kar küreme,theluji,बर्फ हल,,,,,,,
lábfürdő,jalkakylpy,ποδόλουτρο,пешеходная баба,,fußbad,,baño de pies,boidbath,bain de pieds,scillig mhaith,nhroedau,footbath,足浴,bồn rửa chân,フットバス,족욕,,รอยเท้า,footbath,ayak banyosu,mguu wa miguu,फ़ुट बाथ,,,,,,,
rakéta,raketti,πύραυλο,ракета,,rocket,,rocket,razzo,roquette,cumas,rocedi,rocket,火箭,rocket,ロケット,로켓,,จรวด,roket,roket,roketi,प्रक्षेपास्त्र,,,,,,,
űrrepülőgép,avaruussukkula,διαστημικό λεωφορείο,космический шатл,,space shuttle,,transbordador espacial,space shuttle,navette spatiale,tointeán spáis,gwennol ofod,space shuttle,航天飛機,tàu con thoi,スペースシャトル,우주 왕복선,,กระสวยอวกาศ,pesawat ulang -alik,uzay mekiği,nafasi shuttle,अंतरिक्ष शटल,,,,,,,
szegfűszeg,neilikka,γαρύφαλλο μπαχαρικό,гвоздики,,nelken,,clavo,chiodo di garofano,girofle,clo lena,ewin,clove,丁香,clove,クローブ,정향,,กานพลู,cengkih,karanfil,karafuu,लौंग,,,,,,,
borsszóró,pippurimylly,μύλος πιπεριού,мельница для перца,,pfeffermühle,,molinillo de pimienta,macinapepe,moulin à poivre,muileann piobar,melin,pepper mill,胡椒磨,hạt tiêu xay,ペッパーミル,후추 밀,,โรงสีพริกไทย,pepper mill,biber değirmeni,pilipili mill,काली मिर्च का कारख़ाना,,,,,,,
sáfrány,saffron,σαφράν,шафран,,safran,,azafrán,zafferano,safran,cróchbhuí,saffrwm,saffron,藏紅花,nghệ tây,サフラン,사프란,,สีเหลือง,kunyit,safran,saffron,केसरिया,,,,,,,
tarantula,tarantella,ταραντούλα,тарантула,,tarantel,,tarántula,tarantola,tarentule,tarantula,tarantwla,tarantula,狼蛛,tarantula,タランチュラ,타란툴라 거미,,ทารันทูล่า,tarantula,tarantula,tarantula,टारेंटयुला,,,,,,,
jersey,jersey,φανέλα,джерси,,jersey,,jersey,maglia,jersey,geansaí,crysau,jersey,球衣,jersey,ジャージー,저지,,เสื้อ,jersey,jersey,jersey,जर्सी,,,,,,,
baseball ütő,pesäpallomaila,ρόπαλο του μπέιζμπολ,бейсбольная бита,,baseballschläger,,bate de béisbol,mazza da baseball,batte de baseball,ialt ialtóg baseball,ystlum pêl fas,baseball bat,棒球棒,gậy bóng chày,野球用バット,야구 방망이,,ไม้เบสบอล,tongkat pemukul baseball,beysbol sopası,baseball bat,बेस्बाल का बल्ला,,,,,,,
baseball kesztyű,pesäpallo räpylä,γάντι του μπέιζμπολ,бейсбольная перчатка,,baseballhandschuh,,guante de béisbol,guanto da baseball,gant de baseball,lámhainní baseball,maneg pêl fas,baseball glove,棒球手套,găng tay bóng chày,野球の手袋,야구 글러브,,ถุงมือเบสบอล,sarung baseball,beyzbol eldiveni,kinga ya baseball,बेसबॉल दस्ताना,,,,,,,
kosárlabda karika,koripallokori,μπάσκετ,баскетбольное кольцо,,basketball -reifen,,aro de baloncesto,canestro,panier de basket,fonsa cispheile,cylchyn pêl -fasged,basketball hoop,籃球框,đai sắt bóng rổ,バスケットボールフープ,농구 골대,,ห่วงบาสเกตบอล,ring basket,basket potası,hoop ya mpira wa kikapu,बास्केटबॉल का कुंडा,,,,,,,
bob,rattikelkka,είδος τραχέως ελκήθρου,бобслей,,bob,,bobsleigh,bob,bobin,bobsled,bobsled,bobsled,雪橇,bobsled,ボブスレー,봅슬레이,,บ็อบ,kereta luncur,bobsled,bobsled,बोबस्ले,,,,,,,
Bóling golyó,keilapallo,μπόουλινγκ,шар для боулинга,,bowlingkugel,,bola de boliche,palla da bowling,boule de bowling,liathróid babhlála,bowlio,bowling ball,保齡球,bowling ball,ボウリングボール,볼링 공,,ลูกโบว์ลิ่ง,bola bowling,bovling topu,mpira wa bowling,बॉलिंग गेंद,,,,,,,
bokszkesztyű,nyrkkeilyhanskat,γάντια του μποξ,боксерские перчатки,,boxhandschuhe,,guantes de boxeo,guanti da box,gants de boxe,lámhainní dornálaíochta,menig bocsio,boxing gloves,拳擊手套,bao tay đấm bốc,ボクシンググローブ,권투 장갑,,ถุงมือมวย,sarung tinju,boks eldivenleri,glavu za ndondi,मुक्केबाजी के दस्ताने,,,,,,,
darts tábla,tikkataulu,σκάφος,дартборд,,dartscheibe,,diana,bersaglio per freccette,plancher,clár dartac,dartfwrdd,dartboard,飛鏢板,phi tiêu,ダートボード,다트 판,,กระดานดำ,papan panah,dart tahtası,dartboard,dartboard,,,,,,,
lobogó,lippu,σημαία,флажок,,fahne,,bandera,bandiera,drapeaux,brat,lumanaf,flag,旗子,cờ,国旗,플래그,,ธง,bendera,bayrak,bendera,ध्वज,,,,,,,
futball sisak,jalkapallokypärä,ποδοσφαιρικό κράνος,футбольный шлем,,football helm,,casco de fútbol,casco da calcio,casque de football américain,clogad peile,helmed bêl -droed,football helmet,足球頭盔,mũ bảo hiểm bóng đá,サッカーヘルメット,축구 헬멧,,หมวกกันน็อกฟุตบอล,helm sepak bola,futbol kaskı,kofia ya mpira wa miguu,फुटबॉल हेलमेट,,,,,,,
Golf Klub,golfklubi,λέσχη γκολφ,гольф клуб,,golfclub,,club de golf,club di golf,club de golf,club gailf,clwb golff,golf club,高爾夫俱樂部,câu lạc bộ golf,ゴルフクラブ,골프 클럽,,กอล์ฟคลับ,klub golf,golf klübü,klabu ya gofu,गोल्फ क्लब,,,,,,,
hokiütő,jääkiekkomaila,μπαστούνι του χόκει,хоккейная клюшка,,hockeyschläger,,palo de hockey,mazza da hockey,crosse de hockey,bata haca,ffon hoci,hockey stick,曲棍球棒,gậy hockey,ホッケースティック,하키 용 스틱,,ไม้ฮอกกี้,tongkat hoki,hokey sopası,fimbo ya hockey,हाँकी स्टिक,,,,,,,
jégkorcsolya,luistelu,παγοπέδιλο,кататься на коньках,,eislaufen,,patinar sobre hielo,pattinaggio sul ghiaccio,iceskate,iceskate,iceskate,iceskate,滑冰,giày trượt băng,スケート靴,아이스 스케이트,,ไอซ์สเก็ต,seluncur es,buz pateni,iceskate,बर्फ पर स्केट,,,,,,,
javelin,keihäs,ακόντιο,javelin,,Speer,,jabalina,giavellotto,javelot,sleá,waywffyn,javelin,標槍,javelin,ジャベリン,창던지기,,หอก,javelin,cirit,javelin,भाला,,,,,,,
ping pong asztal,pingispöytä,τραπέζι του πινγκ πονγκ,стол для пинг-понга,,tischtennisplatte,,mesa de ping pong,tavolo da ping pong,table de ping pong,tábla ping-pong,tabl ping-pong,ping-pong table,乒乓球桌,bàn chơi bóng bàn,卓球台,탁구대,,ตารางปิงปอง,meja ping pong,masa tenisi masası,jedwali la ping-pong,पिंग पोंग तख़्ता,,,,,,,
biliárdasztal,biljardipöytä,μπιλιάρδο,бильярдный стол,,billardtisch,,mesa de billar,tavolo da biliardo,table de billard,tábla linn na linne,pwll,pool table,台球桌,bàn bi -a,ビリヤード台,당구대,,โต๊ะพูล,meja bilyar,bilardo masası,meza ya bwawa,टेबल खींचे,,,,,,,
ütő,maila,ρακέτα,рэкет,,schläger,,raqueta,racchetta,raquette,caoicéad,raced,racket,球拍,vợt,ラケット,라켓,,แร็กเก็ต,raket,şamata,racket,शोरगुल,,,,,,,
görkorcsolya,rullalade,ρολό,роллер,,rollerblade,,rodillo,rollerblade,rollers,lann rollála,rollerblade,rollerblade,旱冰,rollerblade,ローラーブレード,롤러 블레이드,,โรลเลอร์เบลด,rollerblade,runlerblade,rollerblade,रोलरब्लेड,,,,,,,
görkorcsolya,rullaluistin,πατίνια,роликовые коньки,,rollerskate,,patín,pattino a rotelle,banc de rouleau,rollóirí,rholer,rollerskate,滾筒,rollerskate,ローラースケート,롤러 스케이트,,รองเท้าสเก็ต,sepatu roda,paten,viatu telezi,रोलर स्केट,,,,,,,
nyereg,satula,σέλα,седло,,sattel,,silla,sella,selle,diadilt,gyfrwya ’,saddle,鞍,sale,サドル,안장,,อาน,pelana,eyer,saruji,काठी,,,,,,,
eredményjelző tábla,tulostaulu,πίνακας αποτελεσμάτων,табло,,anzeiger,,marcador,tabellone segnapunti,tableau de bord,clár scór,sgorfwrdd,scoreboard,記分牌,bảng điểm,スコアボード,스코어 보드,,กระดานคะแนน,papan angka,skor tahtası,scoreboard,स्कोर बोर्ड,,,,,,,
gördeszka,rullalauta,πατίνι,скейтборд,,skateboard,,patineta,skateboard,skateboard,clár scátála,sglefrfyrddiais,skateboard,滑板,ván trượt,スケートボード,스케이트보드,,สเก็ตบอร์ด,skateboard,kaykay,skateboard,स्केटबोर्ड,,,,,,,
sí,suksi,σκι,ski,,skifahren,,esquí,sci,skier,té,sgïon,ski,滑雪,ski,スキー,스키,,สกี,ski,ski,ski,स्की,,,,,,,
síbakancs,monot,μποτες του σκι,лыжные ботинки,,ski-stiefel,,botas de esqui,scarponi da sci,chaussures de ski,buataisí sciála,esgidiau sgïo,ski boots,滑雪靴,giày trượt tuyết,スキーブーツ,스키 부츠,,รองเท้าสกี,sepatu ski,kar botları,buti za ski,स्की जूते,,,,,,,
snowboard,lumilauta,σνόουμπι,сноуборд,,snowboard,,snowboard,snowboard,snowboard,clár sneachta,eirafyrddiom,snowboard,滑雪板,trượt tuyết,スノーボード,스노보드,,สโนว์บอร์ด,snowboard,snowboard,ubao wa theluji,भिडियो,,,,,,,
focilabda,jalkapallo,μπάλα ποδοσφαίρου,футбольный мяч,,fußball,,balón de fútbol,palla da calcio,ballon de football,liathróid sacair,pel droed,soccer ball,足球,bóng đá,サッカーボール,축구 공,,ลูกฟุตบอล,sepak bola,futbol topu,mpira wa miguu,सॉकर बॉल,,,,,,,
teniszlabda,tennis pallo,μπάλα τένις,теннисный мяч,,tennis ball,,pelota de tenis,palla da tennis,balle de tennis,liathróid lidis,tennis,tennis ball,網球,bóng tennis,テニスボール,테니스 공,,ลูกเทนนิส,bola tenis,tenis topu,mpira wa tenisi,टैनिस - बाँल,,,,,,,
szájmaszk,hengityssuojain,μάσκα προσώπου,медицинская маска,,schutzmaske,,mascarilla,mascherina,masque,masc aghaidhe,mwgwd gwyneb,face mask,口罩,khẩu trang,マスク,마스크,,หน้ากาก,masker,yüz maskesi,barakoa ya usoni,चेहरे के लिए मास्क,,,,,,,
fúvókát,suukappale,επιστόμιο,рупор,,mundstück,,boquilla,portavoce,embout,béalphíosa,geg,mouthpiece,咬嘴,ống ngậm,マウスピース,대변자,,ปากกระบอกเสียง,juru bicara,ağızlık,kinywa,मुखपत्र,,,,,,,
szán,kelkka,έλκηθρο,сани,,schlitten,,trineo,slitta,traîneau,daobhach,sled,sled,雪橇,xe trượt tuyết,ソリ,썰매,,เลื่อน,kereta luncur,kızak,sled,बेपहियों की गाड़ी,,,,,,,
tekercs,käämin,πηνίο,coil,,spulen,,bobina,bobina,bobine,coláiste,torchent,coil,線圈,xôn xao,コイル,코일,,ม้วน,coil,bobini,coil,कुंडली,,,,,,,
karácsonyi kártya,joulukortti,χριστουγεννιάτικη κάρτα,рождественская открытка,,weihnachtskarte,,tarjeta de navidad,biglietto natalizio,carte de noël,cárta nollag,cerdyn nadolig,christmas card,聖誕賀卡,thiệp giáng sinh,クリスマスカード,크리스마스 카드,,การ์ดคริสต์มาส,kartu natal,yılbaşı kartı,kadi ya krismasi,बड़े दिन का शुभकामना पत्र,,,,,,,
borítékot,kirjekuori,φάκελο,конверт,,umschlag,,sobre,involucro,enveloppe,clúdach litreach,amlen,envelope,信封,bì,封筒,봉투,,ซอง,amplop,zarf,bahasha,लिफाफा,,,,,,,
lépcső,rappu,σκαλί,лестница,,treppe,,escalera,scala,escalier,staighre,grisiau,stair,樓梯,cầu thang,階段,계단,,บันได,anak tangga,merdiven,ngazi,चढ़ते,,,,,,,
gránit,graniitti,γρανίτη,гранит,,granit,,granito,granito,granit,eibhearaigh,gwenithfaen,granite,花崗岩,granite,花崗岩,화강암,,หินแกรนิต,granit,granit,granite,ग्रेनाइट,,,,,,,
szekrény,kaappi,ντουλάπι,шкафчик,,schließfach,,taquilla,armadietto,casier,taisceadán,loceri,locker,儲物櫃,locker,ロッカー,사물함,,ตู้เก็บของ,loker,dolap,locker,लॉकर,,,,,,,
kalapdoboz,hattulaatikko,κατώφλι,шляпа,,hutschachtel,,sombrerera,cappelliera,boîte à chapeaux,bosca hata,hetbox,hatbox,帽盒,hộp đựng mũ,帽子箱,하스 박스,,กล่องหมวก,kotak topi,şapka kutusu,sanduku la kofia,टोपी बॉक्स,,,,,,,
fiók,laatikko,συρτάρι,ящике,,schubladen,,cajón,cassetto,tiroir,draiamán,drôr,drawer,抽屜,ngăn kéo,引き出し,서랍,,ลิ้นชัก,laci,çekmece,droo,दराज,,,,,,,
szekrény,kaappi,ντουλάπι,кабинета,,regierung,,gabinete,gabinetto,cabinet,comh -aireacht,nghabinet,cabinet,內閣,tủ,キャビネット,내각,,ตู้,kabinet,dolap,baraza la mawaziri,कैबिनेट,,,,,,,
gél,geeli,τζελ,гель,,gel,,gel,gel,gel,gel,jeliant,gel,膠,gel,ゲル,젤라틴,,เจล,gel,jel,gel,जेल,,,,,,,
kockacukor,sokeripala,κύβος ζάχαρης,кубик сахара,,zuckerwürfel,,cubo de azucar,zolletta di zucchero,un carré de sucre,ciúb siúcra,ciwb siwgr,sugar cube,方糖,khối đường,角砂糖,각설탕,,น้ำตาลก้อน,sugar cube,küp şeker,mchemraba wa sukari,चीनी क्यूब,,,,,,,
szemüveg,suojalasit,μεγάλα ματογυαλιά,очки для плавания,,brillen,,gafas,occhiali,lunettes,gloiní cosanta,gogls,goggles,護目鏡,kính bảo hộ,ゴーグル,고글,,แว่นตา,kacamata,gözlük,vipuli,गॉगल्स,,,,,,,
flipper,flipper,φλίπερ,флиппер,,flipper,,flipper,flipper,flipper,lapa,fflipio,flipper,腳蹼,flipper,フリッパー,팔,,พลิก,flipper,flipper,flipper,पट्टिका,,,,,,,
légzőcső,snorkkeli,αναπνευστήρα,сноркелин,,schnorchel,,snorkel,boccaglio,tuba,snorcáil,snorkel,snorkel,浮潛,ống thở,シュノーケリング,스노클,,การดำน้ำ,snorkel,şnorkel,snorkel,स्नोर्कल,,,,,,,
bikini,bikini,μπικίνι,бикини,,bikini,,bikini,bikini,bikini,bicíní,bikini,bikini,比基尼,bikini,ビキニ,비키니,,บิกินี่,bikini,bikini,bikini,बिकिनी,,,,,,,
búvárruha,märkäpuku,καλοπουλάδα,гидрокостюм,,neoprenanzug,,traje de neopreno,muta,combinaison,lucht tacaíochta fliuch,siwt wlyb,wetsuit,潛水衣,wetsuit,ウェットスーツ,잠수복,,ชุดดำน้ำ,pakaian selam,dalgıç giysisi,wetsuit,वेट सूट,,,,,,,
szilikon,silikoni,σιλικόνη,силикон,,silicon,,silicona,silicone,silicone,sileacón,silicon,silicone,矽酮,silicon,シリコーン,실리콘,,ซิลิโคน,silicone,silikon,silicone,सिलिकॉन,,,,,,,
helyszőnyeg,paikan matto,τόπος,поместить коврик,,platzieren sie matte,,mantel individual,posizionare il tappetino,natte,mata ionaid,mat lle,place mat,放置墊子,đặt thảm,マットを置きます,매트를 놓으십시오,,วางเสื่อ,alas piring,yer,weka mkeka,जगह चटाई,,,,,,,
hullámvasút,lasinalus,σουβέρ,горки,,achterbahn,,portavasos,puntegne,coaster,compaster,llanciau,coaster,過山車,coaster,コースター,활주 궤도,,รถไฟเหาะ,coaster,coaster,coaster,कोस्टर,,,,,,,
edény,astia,πιάτο,блюдо,,speise,,plato,piatto,plat,mí -mhisneach,dysgl,dish,菜,món,ディッシュ,접시,,จาน,piring,yemek,sahani,डिश,,,,,,,
telefonoszlop,puhelinpylväs,τηλεφωνικός πόλος,телефонный столб,,telefonmast,,poste de teléfono,palo del telefono,centrale téléphonique,cuach teileafóin,polyn ffôn,telephone pole,電線桿,cột điện thoại,電柱,전신주,,เสาโทรศัพท์,tiang telepon,telefon direği,pole ya simu,टेलीफोन पोल,,,,,,,
termosztát,termostaatti,θερμοστάτη,термостат,,thermostat,,termostato,termostato,thermostat,teirmeastat,thermostat,thermostat,恆溫器,bộ điều nhiệt,サーモスタット,온도 조절기,,เทอร์โมสตัท,termostat,termostat,thermostat,थर्मोस्टेट,,,,,,,
hőmérő,lämpömittari,θερμόμετρο,термометр,,thermometer,,termómetro,termometro,thermomètre,teirmiméadar,thermomedr,thermometer,溫度計,nhiệt kế,温度計,온도계,,เทอร์โมมิเตอร์,termometer,termometre,thermometer,थर्मामीटर,,,,,,,
homokóra,tiimalasi,κλεψύδρα,песочные часы,,sanduhr,,hourglass,clessidra,sablier,uair an chloig,gwydr awr,hourglass,滴漏,hourglass,砂時計,모래 시계,,นาฬิกาทราย,hourglass,kum saati,glasi ya saa,hourglass,,,,,,,
stopperóra,sekuntikello,χρονόμετρο,секундомер,,stoppuhr,,cronómetro,cronometro,chronomètre,stadshwatch,stopwats,stopwatch,計時器,đồng hồ bấm giờ,ストップウォッチ,스톱워치,,นาฬิกาจับเวลา,stopwatch,kronometre,stopwatch,स्टॉपवॉच देखनी,,,,,,,
